OBJECTID;ID_LOCAL;X;Y;Xbis;Ybis;C20_NIV8;F7;ARRO;QUA;IRIS;NUM;LET;TYP_VOIE;LIB_VOIE;C20_SIT;C20_CODACT;C20_LIBACT;C20_SURF;C20_CC_ID;C20_NOM_CC;CODE_PROTECTION;TYPE_PROTECTION;CODE_ZTI;NOM_ZTI
6637;22855;650534.9141;6863515.4951;650534.9141;6863515.4951;3;null;8;31;751083106;14;null;BD;MADELEINE;R;CC301;Opticien;1;0;null;2;PCA - PRCA;8;Haussmann
6994;24015;649585.7777;6864724.6285;649585.7777;6864724.6285;3;null;8;32;751083203;119;null;BD;MALESHERBES;R;CB111;Sport - Habillement et chaussures;1;0;null;0;null;0;null
7091;24662;649628.6604;6864728.3538;649631.168446413;6864725.23776034;3;null;8;32;751083204;92;null;BD;MALESHERBES;A;CF201;Fleuriste;2;0;null;0;null;0;null
7090;24661;649628.6604;6864728.3538;649628.6604;6864728.3538;3;null;8;32;751083204;92;null;BD;MALESHERBES;R;CD401;Antiquités;1;0;null;0;null;0;null
17822;83840;649967.8576;6864741.3237;649964.274442581;6864743.10161533;3;null;8;32;751083205;37;null;RUE;CONSTANTINOPLE;R;CB102;Tailleur sur mesure;1;0;null;1;PCA;0;null
7111;24757;649955.9379;6864805.7782;649955.9379;6864805.7782;3;null;8;32;751083205;61;null;BD;BATIGNOLLES;R;CB104;Prêt-à-porter Femme;1;0;null;1;PCA;0;null
7110;24754;649987.2067;6864815.1348;649983.383938631;6864813.95730456;3;null;8;32;751083205;57;null;BD;BATIGNOLLES;R;CD103;Vente de meubles salon et chambre;1;0;null;1;PCA;0;null
7109;24747;650032.8597;6864828.7888;650029.03673329;6864827.61197141;3;null;8;32;751083205;51;null;BD;BATIGNOLLES;R;CD103;Vente de meubles salon et chambre;1;0;null;1;PCA;0;null
7106;24731;649958.6008;6864680.893;649958.6008;6864680.893;3;null;8;32;751083205;84;null;RUE;ROCHER;R;CE202;Spécialiste d'un sport;1;0;null;1;PCA;0;null
7105;24730;649964.3837;6864671.4595;649964.3837;6864671.4595;3;null;8;32;751083205;82;null;RUE;ROCHER;R;CE506;Vente d'animaux de compagnie;1;0;null;1;PCA;0;null
7100;24706;650107.1078;6864670.8176;650107.1078;6864670.8176;3;null;8;32;751083205;23;null;RUE;CONSTANTINOPLE;R;CE407;Vente de matériel informatique;1;0;null;1;PCA;0;null
6995;24043;650089.8712;6864706.4255;650089.8712;6864706.4255;3;null;8;32;751083205;2;null;PL;JEAN PIERRE LEVY;R;CB104;Prêt-à-porter Femme;1;0;null;0;null;0;null
7102;24715;650039.3776;6864705.1083;650035.794132501;6864706.88559026;3;null;8;32;751083205;29;null;RUE;CONSTANTINOPLE;R;CF201;Fleuriste;1;0;null;1;PCA;0;null
7103;24718;650013.6933;6864718.1019;650013.6933;6864718.1019;3;null;8;32;751083205;33;null;RUE;CONSTANTINOPLE;R;CE101;Librairie;1;0;null;1;PCA;0;null
7108;24742;650022.795;6864732.5966;650026.379088278;6864730.82056193;3;null;8;32;751083205;26;null;RUE;CONSTANTINOPLE;R;CD302;Spécialiste Radio - TV - Hi-Fi;1;0;null;1;PCA;0;null
7101;24709;650086.7529;6864681.1175;650079.584724391;6864684.66957804;3;null;8;32;751083205;23;B;RUE;CONSTANTINOPLE;R;CD205;Vente de vaisselle - Ustensiles ménagers - Art de la table;1;0;null;1;PCA;0;null
7107;24741;650022.795;6864732.5966;650022.795;6864732.5966;3;null;8;32;751083205;26;null;RUE;CONSTANTINOPLE;R;CC301;Opticien;1;0;null;1;PCA;0;null
7080;24620;649897.6168;6864718.536;649897.6168;6864718.536;3;null;8;32;751083204;90;null;RUE;MONCEAU;R;CC301;Opticien;1;0;null;0;null;0;null
7095;24676;649824.7043;6864691.1347;649824.7043;6864691.1347;3;null;8;32;751083204;87;null;RUE;MONCEAU;R;CF103;Revêtements sols et murs;1;0;null;0;null;0;null
7082;24631;649946.2423;6864674.2857;649946.2423;6864674.2857;3;null;8;32;751083204;81;null;RUE;ROCHER;R;CD102;Vente de meubles de cuisines et salle de bain;1;0;null;1;PCA;0;null
7098;24696;649921.3801;6864741.6768;649921.3801;6864741.6768;3;null;8;32;751083205;94;null;RUE;ROCHER;R;CE102;Papeterie - Fournitures de bureau;1;0;null;1;PCA;0;null
7096;24679;649863.186;6864718.605;649863.186;6864718.605;3;null;8;32;751083204;93;null;RUE;MONCEAU;R;CD101;Vente de meubles et multispécialistes;1;0;null;0;null;0;null
7097;24693;649929.1556;6864728.9704;649933.391401382;6864722.18379653;3;null;8;32;751083205;90;null;RUE;ROCHER;R;CB304;Bijouterie fantaisie - Accessoire de mode;1;0;null;1;PCA;0;null
18524;89045;649941.6676;6864754.5936;649941.6676;6864754.5936;3;null;8;32;751083205;39;null;RUE;CONSTANTINOPLE;R;CB111;Sport - Habillement et chaussures;1;0;null;1;PCA;0;null
7112;24763;649934.3536;6864799.3283;649926.708488804;6864796.97197345;3;null;8;32;751083205;63;null;BD;BATIGNOLLES;A;CB104;Prêt-à-porter Femme;2;0;null;1;PCA;0;null
7087;24654;649720.5477;6864760.735;649720.5477;6864760.735;3;null;8;32;751083204;23;null;BD;COURCELLES;R;CG104;Concessionnaire Auto + Essence + Garage;3;0;null;1;PCA;0;null
7092;24670;649797.2982;6864740.1769;649797.2982;6864740.1769;3;null;8;32;751083204;106;null;RUE;MIROMESNIL;R;CD401;Antiquités;1;0;null;0;null;0;null
7093;24672;649796.737;6864753.6297;649796.737;6864753.6297;3;null;8;32;751083204;108;null;RUE;MIROMESNIL;R;CB104;Prêt-à-porter Femme;1;0;null;0;null;0;null
7094;24675;649796.1823;6864766.9125;649796.382579679;6864762.91751714;3;null;8;32;751083204;110;null;RUE;MIROMESNIL;R;CB304;Bijouterie fantaisie - Accessoire de mode;1;0;null;0;null;0;null
7085;24651;649772.8048;6864769.8637;649768.870640249;6864769.14093652;3;null;8;32;751083204;15;null;BD;COURCELLES;R;CE103;Vente de journaux;1;0;null;1;PCA;0;null
7086;24653;649759.3349;6864767.5067;649755.399860071;6864766.78874404;3;null;8;32;751083204;17;null;BD;COURCELLES;R;CB105;Prêt-à-porter Homme;1;0;null;1;PCA;0;null
6890;23650;649991.1444;6864014.639;649991.1444;6864014.639;3;null;8;31;751083103;11;null;RUE;LA BOETIE;R;CB202;Chaussures Homme;1;0;null;1;PCA;0;null
6889;23649;650003.8963;6864017.84;650003.8963;6864017.84;3;null;8;31;751083103;9;null;RUE;LA BOETIE;R;CB105;Prêt-à-porter Homme;1;0;null;1;PCA;0;null
6919;23748;649819.1191;6863917.4876;649818.659981611;6863925.47441478;3;null;8;31;751083103;31;null;RUE;MIROMESNIL;R;CB201;Chaussures Femme;1;0;null;1;PCA;0;null
6920;23750;649818.3614;6863932.9129;649818.13114368;6863936.90626725;3;null;8;31;751083103;33;null;RUE;MIROMESNIL;R;CB204;Chaussures Mixte;1;0;null;1;PCA;0;null
6912;23723;649829.2608;6863946.7925;649829.2608;6863946.7925;3;null;8;31;751083103;34;null;RUE;MIROMESNIL;R;CB303;Montres;1;0;null;1;PCA;0;null
6909;23713;649836.9366;6863976.1011;649836.9366;6863976.1011;3;null;8;31;751083103;27;null;RUE;LA BOETIE;R;CB105;Prêt-à-porter Homme;1;0;null;1;PCA;0;null
7028;24326;649846.1764;6864000.8785;649846.1764;6864000.8785;3;null;8;32;751083209;22;null;RUE;LA BOETIE;R;CC301;Opticien;1;0;null;1;PCA;0;null
6907;23704;649907.8458;6863993.737;649907.8458;6863993.737;3;null;8;31;751083103;19;null;RUE;LA BOETIE;R;CB301;Joaillerie;1;0;null;1;PCA;0;null
6906;23701;649935.7753;6864000.7056;649935.7753;6864000.7056;3;null;8;31;751083103;17;null;RUE;LA BOETIE;A;CB104;Prêt-à-porter Femme;1;0;null;1;PCA;0;null
6891;23652;649976.3362;6864010.9293;649976.3362;6864010.9293;3;null;8;31;751083103;13;null;RUE;LA BOETIE;R;CB107;Prêt-à-porter Mixte;1;0;null;1;PCA;0;null
6908;23710;649874.5933;6863985.4691;649870.718273837;6863984.47704545;3;null;8;31;751083103;23;null;RUE;LA BOETIE;R;CB105;Prêt-à-porter Homme;1;0;null;1;PCA;0;null
6946;23796;649790.5659;6863847.8122;649790.5659;6863847.8122;3;null;8;31;751083104;25;null;RUE;PENTHIEVRE;R;CE302;Galerie d'art;1;0;null;0;null;0;null
6915;23740;649820.9978;6863879.0459;649820.9978;6863879.0459;3;null;8;31;751083103;27;null;RUE;MIROMESNIL;A;CC101;Pharmacie;1;0;null;1;PCA;0;null
6911;23721;649830.4526;6863920.6435;649830.876866138;6863912.65475803;3;null;8;31;751083103;30;null;RUE;MIROMESNIL;R;CB104;Prêt-à-porter Femme;1;0;null;1;PCA;0;null
6917;23744;649820.2719;6863893.9629;649819.81696339;6863901.94995407;3;null;8;31;751083103;29;null;RUE;MIROMESNIL;R;CE302;Galerie d'art;1;0;null;1;PCA;0;null
6910;23718;649830.9499;6863909.6993;649831.152271335;6863905.70442255;3;null;8;31;751083103;28;null;RUE;MIROMESNIL;R;CE508;Vente de cigarettes électroniques;1;0;null;1;PCA;0;null
6905;23683;649833.418;6863856.3967;649833.632224402;6863852.40244063;3;null;8;31;751083104;22;null;RUE;MIROMESNIL;R;CE302;Galerie d'art;1;0;null;1;PCA;0;null
6918;23746;649819.1191;6863917.4876;649819.1191;6863917.4876;3;null;8;31;751083103;31;null;RUE;MIROMESNIL;R;CD204;Vente de luminaires;1;0;null;1;PCA;0;null
6945;23793;649822.2355;6863847.8765;649822.031036533;6863851.87127092;3;null;8;31;751083104;23;null;RUE;MIROMESNIL;R;CE302;Galerie d'art;1;0;null;1;PCA;0;null
6916;23742;649820.2719;6863893.9629;649820.2719;6863893.9629;3;null;8;31;751083103;29;null;RUE;MIROMESNIL;R;CE302;Galerie d'art;1;0;null;1;PCA;0;null
6359;21808;649340.8646;6863941.4977;649353.556551607;6863931.75529966;3;null;8;30;751083006;164;null;RUE;FAUBOURG SAINT HONORE;R;CD401;Antiquités;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6976;23862;649475.8238;6863937.2927;649475.8238;6863937.2927;3;null;8;32;751083209;8;null;RUE;COURCELLES;R;CE101;Librairie;1;0;null;0;null;0;null
6358;21806;649340.8646;6863941.4977;649347.210575804;6863936.62649983;3;null;8;30;751083006;164;null;RUE;FAUBOURG SAINT HONORE;R;CE304;Vente de livres anciens - Autographes;1;0;null;1;PCA;6;Champs Elysées-Montaigne
17774;83599;649340.8646;6863941.4977;649344.037587902;6863939.06209991;3;null;8;30;751083006;164;null;RUE;FAUBOURG SAINT HONORE;R;CD103;Vente de meubles salon et chambre;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6364;21831;649462.195;6863934.568;649459.73455529;6863937.72176154;3;null;8;30;751083006;7;null;RUE;COURCELLES;A;CC202;Parfumerie - Produits de beauté;1;0;null;0;null;0;null
6357;21805;649340.8646;6863941.4977;649340.8646;6863941.4977;3;null;8;30;751083006;164;null;RUE;FAUBOURG SAINT HONORE;R;CE302;Galerie d'art;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6361;21811;649320.6409;6863957.2943;649323.813887902;6863954.85869991;3;null;8;30;751083006;166;null;RUE;FAUBOURG SAINT HONORE;R;CE304;Vente de livres anciens - Autographes;1;0;null;1;PCA;6;Champs Elysées-Montaigne
7022;24282;649760.1177;6863979.3676;649767.867059286;6863981.3544142;3;null;8;32;751083209;32;null;RUE;LA BOETIE;R;CC301;Opticien;1;0;null;1;PCA;0;null
7021;24281;649760.1177;6863979.3676;649763.992379643;6863980.3610071;3;null;8;32;751083209;32;null;RUE;LA BOETIE;R;CB105;Prêt-à-porter Homme;1;0;null;1;PCA;0;null
6964;23847;649520.1705;6863889.6297;649520.1705;6863889.6297;3;null;8;31;751083103;63;null;RUE;LA BOETIE;R;CB105;Prêt-à-porter Homme;1;0;null;1;PCA;0;null
6365;21833;649480.1583;6863896.5404;649480.1583;6863896.5404;3;null;8;30;751083006;68;null;RUE;LA BOETIE;A;CD302;Spécialiste Radio - TV - Hi-Fi;1;0;null;1;PCA;0;null
6913;23730;649741.4432;6863891.2924;649741.4432;6863891.2924;3;null;8;31;751083103;6;null;AV;DELCASSE;R;CE302;Galerie d'art;1;0;null;0;null;0;null
6963;23843;649542.2102;6863899.1218;649538.550079468;6863897.50825803;3;null;8;31;751083103;61;null;RUE;LA BOETIE;R;CC301;Opticien;1;0;null;1;PCA;0;null
6366;21834;649480.1583;6863896.5404;649483.820950352;6863898.14819116;3;null;8;30;751083006;68;null;RUE;LA BOETIE;R;CE302;Galerie d'art;1;0;null;1;PCA;0;null
6371;21865;649369.9011;6863898.7122;649369.9011;6863898.7122;3;null;8;30;751083004;123;null;RUE;FAUBOURG SAINT HONORE;A;CB107;Prêt-à-porter Mixte;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6977;23891;649510.1805;6863909.4355;649510.1805;6863909.4355;3;null;8;32;751083209;66;null;RUE;LA BOETIE;R;CC301;Opticien;1;0;null;1;PCA;0;null
6356;21803;649360.9017;6863926.3466;649367.468503244;6863921.777454;3;null;8;30;751083006;162;null;RUE;FAUBOURG SAINT HONORE;R;CB202;Chaussures Homme;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6355;21802;649360.9017;6863926.3466;649364.185101622;6863924.062027;3;null;8;30;751083006;162;null;RUE;FAUBOURG SAINT HONORE;R;CB105;Prêt-à-porter Homme;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6947;23797;649790.5659;6863847.8122;649786.777730803;6863846.52776466;3;null;8;31;751083104;25;null;RUE;PENTHIEVRE;R;CE302;Galerie d'art;1;0;null;0;null;0;null
6965;23848;649520.1705;6863889.6297;649516.510098062;6863888.01679652;3;null;8;31;751083103;63;null;RUE;LA BOETIE;R;CB102;Tailleur sur mesure;1;0;null;1;PCA;0;null
6914;23731;649741.4432;6863891.2924;649742.267334602;6863887.37822037;3;null;8;31;751083103;6;null;AV;DELCASSE;R;CE302;Galerie d'art;1;0;null;0;null;0;null
